original,canonical
grapes raita (angoor ka raita),sweet raita (meetha raita)
pomegranate raita (anaar ka raita),sweet raita (meetha raita)
pineapple squash (ananas ka squash),sweet raita (meetha raita)
mint raita (pudinay ka raita),mint raita (pudinay ka raita)
mint and coriander chutney (pudinay aur dhaniye ki chutney),mint raita (pudinay ka raita)
mint and peanut raita (pudinay aur moongfali ka raita),mint raita (pudinay ka raita)
boondi raita,boondi raita
dahi vadas/dahi bhalla,dahi vadas/dahi bhalla
gunjia,gunjia
saunth/sonth chutney with tamarind/imli,saunth/sonth chutney with tamarind/imli
tamarind chutney (chintapandu pachadi/puli chutney),saunth/sonth chutney with tamarind/imli
vermicelli kheer (semiya/seviyan ki kheer),vermicelli kheer (semiya/seviyan ki kheer)
carrot kheer (gajar ki kheer),carrot kheer (gajar ki kheer)
carrot halwa (gajar ka halwa),carrot halwa (gajar ka halwa)
peanut sago vada (sabudana mungfali vada),carrot kheer (gajar ki kheer)
semolina carrot vada (suji gajar vada),carrot kheer (gajar ki kheer)
carrot murabba (gajar ka murabba),carrot kheer (gajar ki kheer)
jhatpat achar with carrot (jhatpat achaar gajar ke saath),carrot kheer (gajar ki kheer)
phirni,phirni
shahi suji halwa,shahi suji halwa
shahi tukre,shahi tukre
egg halwa (ande ka halwa),egg halwa (ande ka halwa)
potato halwa (aloo ka halwa),egg halwa (ande ka halwa)
pumpkin halwa (kaddu ka halwa),egg halwa (ande ka halwa)
pumpkin raita (kaddu ka raita),egg halwa (ande ka halwa)
pumpkin kheer (kaddu ki kheer),egg halwa (ande ka halwa)
caramel custard (steamed),custard tart
baked custard,custard tart
soft custard (stirred),custard tart
custard tart,custard tart
caramel custard (baked),custard tart
mango vanilla custard,custard tart
chocolate ice cream,mango ice cream
mango ice cream,mango ice cream
caramel ice cream,mango ice cream
vanilla ice cream without egg,vanilla ice cream with egg
vanilla ice cream with egg,vanilla ice cream with egg
strawberry ice cream,mango ice cream
chocochip ice cream,mango ice cream
choconut ice cream,mango ice cream
coffee ice cream,mango ice cream
peach melba ice cream,mango ice cream
vanilla ice cream with apples in hot cherry sauce,mango ice cream
lemon souffle,fish souffle
orange souffle,fish souffle
vanilla souffle,fish souffle
chocolate souffle,fish souffle
hot orange souffle,fish souffle
hot chocolate souffle,fish souffle
hot vanilla souffle,fish souffle
hot cheese souffle,fish souffle
hot potato souffle,fish souffle
hot fish souffle,fish souffle
hot spinach souffle,fish souffle
fish souffle,fish souffle
spinach souffle ,fish souffle
cold lemon souffle,fish souffle
cold orange souffle,fish souffle
cold vanilla souffle,fish souffle
cold chocolate souffle,fish souffle
hot lemon souffle,fish souffle
masala souffle ,fish souffle
chicken and cheese souffle,spinach and paneer souffle
pineapple souffle ,pineapple tart
pineapple tart,pineapple tart
pineapple pastry ,pineapple tart
pineapple cake ,pineapple cake
cold pineapple souffle,pineapple tart
pineapple jam ,pineapple tart
apple mousse,apple mousse
rich chocolate mousse,apple mousse
mango mousse,apple mousse
creamy chocolate mousse,apple mousse
orange and pineapple cream,orange cream tart
orange cream tart,orange cream tart
charlotte rousse,charlotte rousse
triffle pudding,cheese pudding
steamed orange pudding,cheese pudding
cheese pudding,cheese pudding
chocolate pudding,cheese pudding
bread and butter pudding ,cheese pudding
queen of pudding,cheese pudding
apple crumb pudding,cheese pudding
kiwi granola pudding,cheese pudding
kulfi,kulfi
meringue and rice pudding,lemon meringue pie
lemon meringue pie,lemon meringue pie
chocolate meringue pie,lemon meringue pie
pineapple upside down pudding,pineapple upside down pudding
date and nut pie,date and nut pie
stewed apple with custard,stewed apple
stewed fruit (with pear),stewed apple
stewed apple,stewed apple
apple snowballs,apple snowballs
plain burfi (burfi),oats burfi
chocolate burfi,oats burfi
oats burfi,oats burfi
coconut burfi (nariyal ki burfi),khoa coconut burfi
cashewnut burfi (kaju burfi/kaju katli),khoa coconut burfi
peanut burfi (moongfali ki burfi),khoa coconut burfi
spinach burfi (palak burfi),khoa coconut burfi
khoa coconut burfi,khoa coconut burfi
pumpkin coconut burfi (kaddu aur nariyal ki burfi),khoa coconut burfi
spinach peanut burfi (palak aur mungfali ki burfi),khoa coconut burfi
coconut kheer (nariyal ki kheer),khoa coconut burfi
gram flour burfi (besan burfi),gram flour burfi (besan burfi)
gram flour ladoo (besan ladoo),gram flour burfi (besan burfi)
gram flour and semolina chilla/cheela/savory pancake (besan suji chilla/cheela),gram flour burfi (besan burfi)
gram flour poori (besan poori),gram flour burfi (besan burfi)
wheat and gram flour ladoo (atta besan ladoo),gram flour burfi (besan burfi)
wheat flour and nuts ladoos (atta nuts ladoos),gram flour burfi (besan burfi)
gram flour and semolina dhokla (besan suji dhokla),gram flour burfi (besan burfi)
gram flour halwa (besan halwa),gram flour burfi (besan burfi)
gram flour chilla/cheela (besan chilla/cheela),gram flour burfi (besan burfi)
chenna murki,chenna murki
milk cake,milk cake
plain cream cake,milk cake
marble cake,milk cake
chocolate cake,milk cake
orange cake,milk cake
eggless cake,milk cake
chocolate sponge cake,milk cake
lemon cake,milk cake
chocolate eggless cake,milk cake
orange eggless cake,milk cake
honey cake,milk cake
sponge cake ,milk cake
ghujia/lavang latika,ghujia/lavang latika
gulab jamun with khoya,gulab jamun with khoya
gulab jamun with milk powder,gulab jamun with khoya
mal pua,mal pua
potato pakora/pakoda (aloo pakoda),fish pakora/pakoda
mixed vegetable pakora/pakoda,fish pakora/pakoda
spinach pakora/pakoda (palak pakoda),fish pakora/pakoda
methi pakora/pakoda (methi ke pakode),fish pakora/pakoda
egg pakora/pakoda (ande ke pakode),egg pakora/pakoda (ande ke pakode)
bread pakora/pakoda,fish pakora/pakoda
paneer pakora/pakoda,fish pakora/pakoda
chicken pakora/pakoda,chicken pakora/pakoda
fish pakora/pakoda,fish pakora/pakoda
potato samosa (aloo ka samosa),vegetable samosa
minced meat samosa (keema ka samosa),vegetable samosa
vegetable samosa,vegetable samosa
mathri,mathri
pearl millet mathri (bajra mathri),mathri
